Coverage report: 40%
Show keyboard shortcuts
filter...
Hide keyboard shortcuts
Hot-keys on this page

n s m x c   change column sorting

Module	statements	missing	excluded	coverage
/home/cashen563/.local/lib/python3.6/site-packages/sqlalchemy/sql/__init__.py	84	0	0	100%
/home/cashen563/.local/lib/python3.6/site-packages/sqlalchemy/sql/annotation.py	102	28	0	73%
/home/cashen563/.local/lib/python3.6/site-packages/sqlalchemy/sql/base.py	267	136	0	49%
/home/cashen563/.local/lib/python3.6/site-packages/sqlalchemy/sql/compiler.py	1555	862	0	45%
/home/cashen563/.local/lib/python3.6/site-packages/sqlalchemy/sql/crud.py	309	207	1	33%
/home/cashen563/.local/lib/python3.6/site-packages/sqlalchemy/sql/ddl.py	320	120	0	62%
/home/cashen563/.local/lib/python3.6/site-packages/sqlalchemy/sql/default_comparator.py	132	78	0	41%
/home/cashen563/.local/lib/python3.6/site-packages/sqlalchemy/sql/dml.py	190	85	0	55%
/home/cashen563/.local/lib/python3.6/site-packages/sqlalchemy/sql/elements.py	1260	629	0	50%
/home/cashen563/.local/lib/python3.6/site-packages/sqlalchemy/sql/expression.py	153	0	0	100%
/home/cashen563/.local/lib/python3.6/site-packages/sqlalchemy/sql/functions.py	288	118	0	59%
/home/cashen563/.local/lib/python3.6/site-packages/sqlalchemy/sql/naming.py	106	60	0	43%
/home/cashen563/.local/lib/python3.6/site-packages/sqlalchemy/sql/operators.py	296	126	0	57%
/home/cashen563/.local/lib/python3.6/site-packages/sqlalchemy/sql/schema.py	1255	681	0	46%
/home/cashen563/.local/lib/python3.6/site-packages/sqlalchemy/sql/selectable.py	1060	601	0	43%
/home/cashen563/.local/lib/python3.6/site-packages/sqlalchemy/sql/sqltypes.py	870	523	0	40%
/home/cashen563/.local/lib/python3.6/site-packages/sqlalchemy/sql/type_api.py	361	181	0	50%
/home/cashen563/.local/lib/python3.6/site-packages/sqlalchemy/sql/util.py	449	322	0	28%
/home/cashen563/.local/lib/python3.6/site-packages/sqlalchemy/sql/visitors.py	142	42	0	70%
/home/cashen563/.local/lib/python3.6/site-packages/sqlalchemy/types.py	58	0	0	100%
/home/cashen563/.local/lib/python3.6/site-packages/sqlalchemy/util/__init__.py	142	0	0	100%
/home/cashen563/.local/lib/python3.6/site-packages/sqlalchemy/util/_collections.py	629	295	0	53%
/home/cashen563/.local/lib/python3.6/site-packages/sqlalchemy/util/_preloaded.py	96	11	0	89%
/home/cashen563/.local/lib/python3.6/site-packages/sqlalchemy/util/compat.py	313	184	0	41%
/home/cashen563/.local/lib/python3.6/site-packages/sqlalchemy/util/deprecations.py	106	16	0	85%
/home/cashen563/.local/lib/python3.6/site-packages/sqlalchemy/util/langhelpers.py	792	365	0	54%
/home/cashen563/.local/lib/python3.6/site-packages/sqlalchemy/util/queue.py	91	67	0	26%
/home/cashen563/.local/lib/python3.6/site-packages/sqlalchemy/util/topological.py	47	5	0	89%
/home/cashen563/.local/lib/python3.6/site-packages/urllib3/__init__.py	34	8	0	76%
/home/cashen563/.local/lib/python3.6/site-packages/urllib3/_collections.py	182	99	0	46%
/home/cashen563/.local/lib/python3.6/site-packages/urllib3/_version.py	1	0	0	100%
/home/cashen563/.local/lib/python3.6/site-packages/urllib3/connection.py	214	120	0	44%
/home/cashen563/.local/lib/python3.6/site-packages/urllib3/connectionpool.py	331	159	0	52%
/home/cashen563/.local/lib/python3.6/site-packages/urllib3/contrib/__init__.py	0	0	0	100%
/home/cashen563/.local/lib/python3.6/site-packages/urllib3/contrib/_appengine_environ.py	11	1	0	91%
/home/cashen563/.local/lib/python3.6/site-packages/urllib3/exceptions.py	112	30	0	73%
/home/cashen563/.local/lib/python3.6/site-packages/urllib3/fields.py	90	70	0	22%
/home/cashen563/.local/lib/python3.6/site-packages/urllib3/filepost.py	43	30	0	30%
/home/cashen563/.local/lib/python3.6/site-packages/urllib3/packages/__init__.py	3	0	0	100%
/home/cashen563/.local/lib/python3.6/site-packages/urllib3/packages/six.py	473	215	0	55%
/home/cashen563/.local/lib/python3.6/site-packages/urllib3/packages/ssl_match_hostname/__init__.py	11	6	0	45%
/home/cashen563/.local/lib/python3.6/site-packages/urllib3/poolmanager.py	192	81	0	58%
/home/cashen563/.local/lib/python3.6/site-packages/urllib3/request.py	39	11	0	72%
/home/cashen563/.local/lib/python3.6/site-packages/urllib3/response.py	400	229	0	43%
/home/cashen563/.local/lib/python3.6/site-packages/urllib3/util/__init__.py	10	0	0	100%
/home/cashen563/.local/lib/python3.6/site-packages/urllib3/util/connection.py	72	21	0	71%
/home/cashen563/.local/lib/python3.6/site-packages/urllib3/util/proxy.py	14	9	0	36%
/home/cashen563/.local/lib/python3.6/site-packages/urllib3/util/queue.py	14	1	0	93%
/home/cashen563/.local/lib/python3.6/site-packages/urllib3/util/request.py	52	34	0	35%
/home/cashen563/.local/lib/python3.6/site-packages/urllib3/util/response.py	38	20	0	47%
/home/cashen563/.local/lib/python3.6/site-packages/urllib3/util/retry.py	201	125	0	38%
/home/cashen563/.local/lib/python3.6/site-packages/urllib3/util/ssl_.py	181	137	0	24%
/home/cashen563/.local/lib/python3.6/site-packages/urllib3/util/ssltransport.py	138	106	0	23%
/home/cashen563/.local/lib/python3.6/site-packages/urllib3/util/timeout.py	60	25	0	58%
/home/cashen563/.local/lib/python3.6/site-packages/urllib3/util/url.py	199	80	0	60%
/home/cashen563/.local/lib/python3.6/site-packages/urllib3/util/wait.py	77	38	0	51%
/home/cashen563/.local/lib/python3.6/site-packages/werkzeug/__init__.py	5	0	0	100%
/home/cashen563/.local/lib/python3.6/site-packages/werkzeug/_compat.py	153	85	0	44%
/home/cashen563/.local/lib/python3.6/site-packages/werkzeug/_internal.py	250	159	0	36%
/home/cashen563/.local/lib/python3.6/site-packages/werkzeug/datastructures.py	1479	902	0	39%
/home/cashen563/.local/lib/python3.6/site-packages/werkzeug/debug/__init__.py	260	200	0	23%
/home/cashen563/.local/lib/python3.6/site-packages/werkzeug/debug/console.py	147	101	0	31%
/home/cashen563/.local/lib/python3.6/site-packages/werkzeug/debug/repr.py	194	149	5	23%
/home/cashen563/.local/lib/python3.6/site-packages/werkzeug/debug/tbtools.py	308	236	0	23%
/home/cashen563/.local/lib/python3.6/site-packages/werkzeug/exceptions.py	235	65	0	72%
/home/cashen563/.local/lib/python3.6/site-packages/werkzeug/filesystem.py	22	13	0	41%
/home/cashen563/.local/lib/python3.6/site-packages/werkzeug/formparser.py	256	199	4	22%
/home/cashen563/.local/lib/python3.6/site-packages/werkzeug/http.py	488	358	0	27%
/home/cashen563/.local/lib/python3.6/site-packages/werkzeug/local.py	214	64	0	70%
/home/cashen563/.local/lib/python3.6/site-packages/werkzeug/routing.py	804	294	0	63%
/home/cashen563/.local/lib/python3.6/site-packages/werkzeug/security.py	104	73	0	30%
/home/cashen563/.local/lib/python3.6/site-packages/werkzeug/serving.py	505	384	0	24%
/home/cashen563/.local/lib/python3.6/site-packages/werkzeug/test.py	521	243	0	53%
/home/cashen563/.local/lib/python3.6/site-packages/werkzeug/urls.py	455	183	0	60%
/home/cashen563/.local/lib/python3.6/site-packages/werkzeug/useragents.py	43	24	0	44%
/home/cashen563/.local/lib/python3.6/site-packages/werkzeug/utils.py	269	176	0	35%
/home/cashen563/.local/lib/python3.6/site-packages/werkzeug/wrappers/__init__.py	16	0	0	100%
/home/cashen563/.local/lib/python3.6/site-packages/werkzeug/wrappers/accept.py	14	4	0	71%
/home/cashen563/.local/lib/python3.6/site-packages/werkzeug/wrappers/auth.py	16	9	0	44%
/home/cashen563/.local/lib/python3.6/site-packages/werkzeug/wrappers/base_request.py	176	92	0	48%
/home/cashen563/.local/lib/python3.6/site-packages/werkzeug/wrappers/base_response.py	227	83	0	63%
/home/cashen563/.local/lib/python3.6/site-packages/werkzeug/wrappers/common_descriptors.py	98	36	0	63%
/home/cashen563/.local/lib/python3.6/site-packages/werkzeug/wrappers/cors.py	20	4	0	80%
/home/cashen563/.local/lib/python3.6/site-packages/werkzeug/wrappers/etag.py	110	69	0	37%
/home/cashen563/.local/lib/python3.6/site-packages/werkzeug/wrappers/json.py	65	45	0	31%
/home/cashen563/.local/lib/python3.6/site-packages/werkzeug/wrappers/request.py	12	0	0	100%
/home/cashen563/.local/lib/python3.6/site-packages/werkzeug/wrappers/response.py	39	20	0	49%
/home/cashen563/.local/lib/python3.6/site-packages/werkzeug/wrappers/user_agent.py	5	1	0	80%
/home/cashen563/.local/lib/python3.6/site-packages/werkzeug/wsgi.py	439	334	0	24%
/home/cashen563/.local/lib/python3.6/site-packages/wtforms/__init__.py	5	0	0	100%
/home/cashen563/.local/lib/python3.6/site-packages/wtforms/compat.py	19	7	0	63%
/home/cashen563/.local/lib/python3.6/site-packages/wtforms/csrf/__init__.py	0	0	0	100%
/home/cashen563/.local/lib/python3.6/site-packages/wtforms/csrf/core.py	29	5	0	83%
/home/cashen563/.local/lib/python3.6/site-packages/wtforms/fields/__init__.py	4	0	0	100%
/home/cashen563/.local/lib/python3.6/site-packages/wtforms/fields/core.py	560	327	0	42%
/home/cashen563/.local/lib/python3.6/site-packages/wtforms/fields/simple.py	24	4	0	83%
/home/cashen563/.local/lib/python3.6/site-packages/wtforms/form.py	127	46	0	64%
/home/cashen563/.local/lib/python3.6/site-packages/wtforms/i18n.py	29	18	0	38%
/home/cashen563/.local/lib/python3.6/site-packages/wtforms/meta.py	43	20	0	53%
/home/cashen563/.local/lib/python3.6/site-packages/wtforms/utils.py	21	9	0	57%
/home/cashen563/.local/lib/python3.6/site-packages/wtforms/validators.py	284	195	0	31%
/home/cashen563/.local/lib/python3.6/site-packages/wtforms/widgets/__init__.py	2	0	0	100%
/home/cashen563/.local/lib/python3.6/site-packages/wtforms/widgets/core.py	140	53	0	62%
Game_reviews/application/__init__.py	8	0	0	100%
Game_reviews/application/forms.py	16	4	0	75%
Game_reviews/application/models.py	9	0	0	100%
Game_reviews/application/routes.py	41	7	0	83%
Game_reviews/tests/__init__.py	0	0	0	100%
Game_reviews/tests/test_app.py	32	0	0	100%
Game_reviews/tests/test_int.py	43	1	0	98%
/usr/lib/python3/dist-packages/blinker/__init__.py	3	0	0	100%
/usr/lib/python3/dist-packages/blinker/_saferef.py	83	31	0	63%
/usr/lib/python3/dist-packages/blinker/_utilities.py	100	53	0	47%
/usr/lib/python3/dist-packages/blinker/base.py	160	70	0	56%
/usr/lib/python3/dist-packages/simplejson/__init__.py	80	52	0	35%
/usr/lib/python3/dist-packages/simplejson/compat.py	34	15	0	56%
/usr/lib/python3/dist-packages/simplejson/decoder.py	228	181	0	21%
/usr/lib/python3/dist-packages/simplejson/encoder.py	387	302	2	22%
/usr/lib/python3/dist-packages/simplejson/errors.py	29	23	0	21%
/usr/lib/python3/dist-packages/simplejson/raw_json.py	3	1	0	67%
/usr/lib/python3/dist-packages/simplejson/scanner.py	64	53	0	17%
No items found using the specified filter.

coverage.py v5.3, created at 2020-11-16 12:17 +0000
